postcode,original_journey_time,new_journey_time,change_in_journey_time,lng,lat
KT9 1AQ,88,88,0,-0.304641409644,51.3689254727
KT9 1NL,75,75,0,-0.311071108985,51.3671478915
N1  0LD,35,35,0,-0.115918377233,51.537531668
N1  0RY,33,33,0,-0.106664666037,51.5388304764
N1  1BQ,41,41,0,-0.114416220248,51.5400344257
N1  1JD,42,42,0,-0.110712665796,51.5410179699
N1  1PH,42,42,0,-0.111015230263,51.5438105173
N1  2NN,37,37,0,-0.0970117137722,51.5445014375
N1  2ZA,35,35,0,-0.102175661838,51.5417074851
N1  3QE,34,34,0,-0.0870194458219,51.5454809775
N1  4BG,37,37,0,-0.0818208667349,51.546322324
N1  4SG,40,40,0,-0.0778847491646,51.541159132
N1  5HU,40,40,0,-0.0799075099358,51.5335306093
N1  5SL,41,41,0,-0.0797289628217,51.5374304519
N1  6FL,26,26,0,-0.0877251456567,51.5276153212
N1  6JE,30,30,0,-0.0851645388603,51.5309187771
N1  6JH,36,36,0,-0.0832404334364,51.5314179128
N1  7QR,29,29,0,-0.0870066702926,51.531686222
N1  8QH,31,31,0,-0.0970439723403,51.5375057812
N1  9RA,36,36,0,-0.115809915881,51.5345713923
N10 1BT,60,60,0,-0.143194911789,51.59291932
N10 1NE,61,61,0,-0.150924471533,51.592780573
N10 2EY,72,72,0,-0.14277967171,51.6073455261
N10 2JL,62,62,0,-0.14575517816,51.6027255258
N11 3GG,68,68,0,-0.150881543404,51.6108995266
N12 8AP,50,50,0,-0.182431976999,51.6186760668
N12 8LD,57,57,0,-0.177073562198,51.6146903136
N12 9EA,61,61,0,-0.172562595294,51.6148000227
N12 9LT,68,68,0,-0.164356317272,51.6162816133
N13 4DT,67,67,0,-0.102657977066,51.6254080533
N13 5JD,61,61,0,-0.107372635572,51.6145314161
N13 9BB,68,68,0,-0.0995541350227,51.6329564215
N14 6HF,53,53,0,-0.126833282272,51.6337185536
N14 6JT,51,51,0,-0.127519016033,51.6328572338
N14 7AH,53,53,0,-0.129457967724,51.6194445588
N14 7ER,62,62,0,-0.132757407439,51.6235256667
N14 7LS,62,62,0,-0.137441613997,51.6241486123
N15 3DD,46,46,0,-0.0999652878173,51.587488407
N15 3ED,40,40,0,-0.101395897091,51.5898765738
N15 4BB,46,46,0,-0.0650638001123,51.5877364707
N15 4JR,53,53,0,-0.0788362741891,51.5890867974
N15 6EJ,45,45,0,-0.0734437825147,51.5783512918
N15 6LP,51,51,0,-0.0700743693935,51.5768031709
N15 6NA,47,47,0,-0.0751256119704,51.5747549152
N15 6PT,47,47,0,-0.0772979813001,51.5752581397
N16 0ND,46,46,0,-0.0762583113869,51.5626246153
